NUMERO_PIECE;DT_ECRITURE;FICHIER;LIBELLE;HT;TVA;TTC;EXERCICE_COMPTABLE;IDT_MODE_REG;IDT_STATUT;IDT_SS_CATEGORIE
21-14060000000000034649;30/06/2014;21-14060000000000034649.pdf;Frais Bancaires Mensuels;20,79;1,11;21,9;2014;7;1;30
22-14070000000000043770;31/07/2014;22-14070000000000043770.pdf;Frais Bancaires Mensuels;91,64;1,11;92,75;2014;7;1;30
23-14080000000000033140;29/08/2014;23-14080000000000033140.pdf;Frais Bancaires Mensuels;20,79;1,11;21,9;2014;7;1;30
24-14090000000000033928;30/09/2014;24-14090000000000033928.pdf;Frais Bancaires Mensuels;21,72;0,18;21,9;2014;7;1;30
25-14100000000000042945;31/10/2014;25-14100000000000042945.pdf;Frais Bancaires Mensuels;103,42;0,18;103,6;2014;7;1;30
26-14110000000000033210;28/11/2014;26-14110000000000033210.pdf;Frais Bancaires Mensuels;21,72;0,18;21,9;2014;7;1;30
27-14120000000000033490;31/12/2014;27-14120000000000033490.pdf;Frais Bancaires Mensuels;21,72;0,18;21,9;2014;7;1;30
28-15010000000000041962;30/01/2015;28-15010000000000041962.pdf;Frais Bancaires Mensuels;136,64;0,18;136,82;2015;7;1;30
29-15020000000000032763;28/02/2015;29-15020000000000032763,pdf;Frais Bancaires Mensuels;21,72;0,18;21,9;2015;7;1;30
30-15030000000000035344;31/03/2015;30-15030000000000035344,pdf;Frais Bancaires Mensuels;21,72;0,18;21,9;2015;7;1;30
31-15040000000000040929;30/04/2015;31-15040000000000040929.pdf;Frais Bancaires Mensuels;107,82;0,18;108;2015;7;1;30
32-15050000000000031521;29/05/2015;32-15050000000000031521.pdf;Frais Bancaires Mensuels;21,04;0,18;21,22;2015;7;1;30
33-15060000000000032288;30/06/2015;33-15060000000000032288.pdf;Frais Bancaires Mensuels;21,04;0,18;21,22;2015;7;1;30
34-15070000000000040890;31/07/2015;34-15070000000000040890.pdf;Frais Bancaires Mensuels;109,95;0,18;110,13;2015;7;1;30
35-15080000000000030609;31/08/2015;35-15080000000000030609.pdf;Frais Bancaires Mensuels;21,04;0,18;21,22;2015;7;1;30
36-15090000000000031038;30/09/2015;36-15090000000000031038.pdf;Frais Bancaires Mensuels;21,04;0,18;21,22;2015;7;1;30
37-15100000000000039822;30/10/2015;37-15100000000000039822.pdf;Frais Bancaires Mensuels;121,6;0,18;121,78;2015;7;1;30
38-15110000000000030760;30/11/2015;38-15110000000000030760.pdf;Frais Bancaires Mensuels;21,04;0,18;21,22;2015;7;1;30
39-15120000000000030843;31/12/2015;39-15120000000000030843.pdf;Frais Bancaires Mensuels;21,04;0,18;21,22;2015;7;1;30
40-16010000000000038947;29/01/2016;40-16010000000000038947.pdf;Frais Bancaires Mensuels;147,9;0,18;148,08;2016;7;1;30
41-16020000000000030307;29/02/2016;41-16020000000000030307.pdf;Frais Bancaires Mensuels;32,24;0,18;32,42;2016;7;1;30
42-16030000000000032403;31/03/2016;42-16030000000000032403.pdf;Frais Bancaires Mensuels;73,84;0,18;74,02;2016;7;1;30
43-16040000000000038022;29/04/2016;43-16040000000000038022.pdf;Frais Bancaires Mensuels;107,31;0,18;107,49;2016;7;1;30
44-16050000000000029482;31/05/2016;44-16050000000000029482.pdf;Frais Bancaires Mensuels;23,04;0,18;23,22;2016;7;1;30
45-16060000000000029400;30/06/2016;45-16060000000000029400.pdf;Frais Bancaires Mensuels;21,16;0,18;21,34;2016;7;1;30
46-16070000000000037153;29/07/2016;46-16070000000000037153.pdf;Frais Bancaires Mensuels;106,43;0,18;106,61;2016;7;1;30
47-16080000000000028399;31/08/2016;47-16080000000000028399.pdf;Frais Bancaires Mensuels;21,16;0,18;21,34;2016;7;1;30
48-16090000000000028447;30/09/2016;48-16090000000000028447.pdf;Frais Bancaires Mensuels;21,16;0,18;21,34;2016;7;1;30
49-16100000000000037001;31/10/2016;49-16100000000000037001.pdf;Frais Bancaires Mensuels;132,44;0,18;132,62;2016;7;1;30
50-16110000000000032514;30/11/2016;50-16110000000000032514.pdf;Frais Bancaires Mensuels;21,16;0,18;21,34;2016;7;1;30
51-16120000000000029736;30/12/2016;51-16120000000000029736.pdf;Frais Bancaires Mensuels;21,16;0,18;21,34;2016;7;1;30
52-17010000000000035906;31/01/2017;52-17010000000000035906.pdf;Frais Bancaires Mensuels;122,46;0,18;122,64;2017;7;1;30
53-17020000000000029837;28/02/2017;53-17020000000000029837.pdf;Frais Bancaires Mensuels;94,28;0,18;94,46;2017;7;1;30
54-17030000000000029943;31/03/2017;54-17030000000000029943.pdf;Frais Bancaires Mensuels;35,4;3,01;38,41;2017;7;1;30
55-17040000000000034458;28/04/2017;55-17040000000000034458.pdf;Frais Bancaires Mensuels;124,11;0,18;124,29;2017;7;1;30
56-17050000000000028284;31/05/2017;56-17050000000000028284.pdf;Frais Bancaires Mensuels;21,23;0,18;21,41;2017;7;1;30
57-17060000000000027131;30/06/2017;57-17060000000000027131.pdf;Frais Bancaires Mensuels;21,23;0,18;21,41;2017;7;1;30
58-17070000000000034762;31/07/2017;58-17070000000000034762.pdf;Frais Bancaires Mensuels;114,9;0,18;115,08;2017;7;1;30
59-17080000000000026285;31/08/2017;59-17080000000000026285.pdf;Frais Bancaires Mensuels;71,23;0,18;71,41;2017;7;1;30
60-17090000000000026116;29/09/2017;60-17090000000000026116.pdf;Frais Bancaires Mensuels;21,23;0,18;21,41;2017;7;1;30
61-17100000000000033991;31/10/2017;61-17100000000000033991.pdf;Frais Bancaires Mensuels;125,66;0,18;125,84;2017;7;1;30
62-17110000000000029070;30/11/2017;62-17110000000000029070.pdf;Frais Bancaires Mensuels;21,23;0,18;21,41;2017;7;1;30
63-17120000000000026255;29/12/2017;63-17120000000000026255.pdf;Frais Bancaires Mensuels;21,23;0,18;21,41;2017;7;1;30
64-18010000000000033370;31/01/2018;64-18010000000000033370.pdf;Frais Bancaires Mensuels;142,38;0,18;142,56;2018;7;1;30
65-18020000000000025646;28/02/2018;65-18020000000000025646.pdf;Frais Bancaires Mensuels;48,05;0,18;48,23;2018;7;1;30
66-18030000000000025495;31/03/2018;66-18030000000000025495.pdf;Frais Bancaires Mensuels;21,55;0,18;21,73;2018;7;1;30
67-18040000000000032129;30/04/2018;67-18040000000000032129.pdf;Frais Bancaires Mensuels;128,89;0,18;129,07;2018;7;1;30
68-18050000000000025898;31/05/2018;68-18050000000000025898.pdf;Frais Bancaires Mensuels;21,55;0,18;21,73;2018;7;1;30
69-18060000000000024847;29/06/2018;69-18060000000000024847.pdf;Frais Bancaires Mensuels;21,55;0,18;21,73;2018;7;1;30
70-18070000000000031732;31/07/2018;70-18070000000000031732.pdf;Frais Bancaires Mensuels;124,25;0,18;124,43;2018;7;1;30
71-18080000000000023993;31/08/2018;71-18080000000000023993.pdf;Frais Bancaires Mensuels;48,45;0,18;48,63;2018;7;1;30
72-18090000000000023912;29/09/2018;72-18090000000000023912.pdf;Frais Bancaires Mensuels;99,45;0,18;99,63;2018;7;1;30
73-18100000000000031362;31/10/2018;73-18100000000000031362.pdf;Frais Bancaires Mensuels;114,72;0,18;114,9;2018;7;1;30
74-18110000000000025476;30/11/2018;74-18110000000000025476.pdf;Frais Bancaires Mensuels;37,66;0,18;37,84;2018;7;1;30
75-18120000000000026508;31/12/2018;75-18120000000000026508.pdf;Frais Bancaires Mensuels;66,05;0,18;66,23;2018;7;1;30
76-19010000000000030935;31/01/2019;76-19010000000000030935.pdf;Frais Bancaires Mensuels;214,33;0,18;214,51;2019;7;1;30
77-19020000000000023831;28/02/2019;77-19020000000000023831.pdf;Frais Bancaires Mensuels;86,35;8,03;94,38;2019;7;1;30
78-19030000000000023559;29/03/2019;78-19030000000000023559.pdf;Frais Bancaires Mensuels;111,6;0,18;111,78;2019;7;1;30
79-19040000000000030689;30/04/2019;79-19040000000000030689.pdf;Frais Bancaires Mensuels;169,67;0,18;169,85;2019;7;1;30
80-19050000000000023239;31/05/2019;80-19050000000000023239.pdf;Frais Bancaires Mensuels;20,6;0,18;20,78;2019;7;1;30
81-19060000000000023001;28/06/2019;81-19060000000000023001.pdf;Frais Bancaires Mensuels;57;0,18;57,18;2019;7;1;30
82-19070000000000029580;31/07/2019;82-19070000000000029580.pdf;Frais Bancaires Mensuels;177,47;0,18;177,65;2019;7;1;30
83-19080000000000022394;30/08/2019;83-19080000000000022394.pdf;Frais Bancaires Mensuels;31,5;0,18;31,68;2019;7;1;30
84-19090000000000022413;30/09/2019;84-19090000000000022413.pdf;Frais Bancaires Mensuels;117,38;0,18;117,56;2019;7;1;30
85-19100000000000028971;31/10/2019;85-19100000000000028971.pdf;Frais Bancaires Mensuels;133,54;0,18;133,72;2019;7;1;30
86-19110000000000023631;29/11/2019;86-19110000000000023631.pdf;Frais Bancaires Mensuels;67,88;0,18;67,7;2019;7;1;30
87-19120000000000024745;31/12/2019;87-19120000000000024745.pdf;Frais Bancaires Mensuels;20,78;0,18;20,6;2019;7;1;30
88-20010000000000028633;31/01/2020;88-20010000000000028633.pdf;Frais Bancaires Mensuels;135,33;0,18;135,51;2020;7;1;30
89-20020000000000022361;28/02/2020;89-20020000000000022361.pdf;Frais Bancaires Mensuels;59,13;0,18;59,31;2020;7;1;30
90-20030000000000022225;31/03/2020;90-20030000000000022225.pdf;Frais Bancaires Mensuels;19,14;0,18;19,32;2020;7;1;30
91-20040000000000028125;30/04/2020;91-20040000000000028125.pdf;Frais Bancaires Mensuels;140,98;0,18;141,16;2020;7;1;30
92-20050000000000021302;29/05/2020;92-20050000000000021302.pdf;Frais Bancaires Mensuels;21,28;0,18;21,46;2020;7;1;30
93-20060000000000021677;30/06/2020;93-20060000000000021677.pdf;Frais Bancaires Mensuels;28,69;0,18;28,87;2020;7;1;30
94-20070000000000027487;31/07/2020;94-20070000000000027487.pdf;Frais Bancaires Mensuels;118,52;0,18;118,7;2020;7;1;30
95-20080000000000021059;31/08/2020;95-20080000000000021059.pdf;Frais Bancaires Mensuels;21,04;0,18;21,22;2020;7;1;30
96-20090000000000021421;30/09/2020;96-20090000000000021421.pdf;Frais Bancaires Mensuels;23,34;0,18;23,52;2020;7;1;30
97-20100000000000027137;30/10/2020;97-20100000000000027137.pdf;Frais Bancaires Mensuels;136,48;0,18;136,66;2020;7;1;30
98-20110000000000022299;30/11/2020;98-20110000000000022299.pdf;Frais Bancaires Mensuels;76,02;0,18;76,2;2020;7;1;30
99-20120000000000023149;31/12/2020;99-20120000000000023149.pdf;Frais Bancaires Mensuels;21,22;0,18;21,22;2020;7;1;30
100-21010000000000026670;29/01/2021;100-21010000000000026670.pdf;Frais Bancaires Mensuels;154,28;0,18;154,46;2021;7;1;30
101-21020000000000020570;26/02/2021;101-21020000000000020570.pdf;Frais Bancaires Mensuels;21,18;0,18;21,36;2021;7;1;30
102-21030000000000022366;31/03/2021;102-21030000000000022366.pdf;Frais Bancaires Mensuels;21,18;0,18;21,36;2021;7;1;30
103-21040000000000025867;30/04/2021;103-21040000000000025867.pdf;Frais Bancaires Mensuels;140,35;0,18;140,53;2021;7;1;30
104-21050000000000020236;31/05/2021;104-21050000000000020236.pdf;Frais Bancaires Mensuels;24,82;18;25;2021;7;1;30
105-21060000000000020540;30/06/2021;105-21060000000000020540.pdf;Frais Bancaires Mensuels;21,18;0,18;21,36;2021;7;1;30
106-21070000000000025638;30/07/2021;106-21070000000000025638.pdf;Frais Bancaires Mensuels;209,29;0,18;209,47;2021;7;1;30
107-21080000000000019993;31/08/2021;107-21080000000000019993.pdf;Frais Bancaires Mensuels;21,18;0,18;21,36;2021;7;1;30
108-21090000000000020038;30/09/2021;108-21090000000000020038.pdf;Frais Bancaires Mensuels;21,18;0,18;21,36;2021;7;1;30
;31/10/2021;  ;Frais Bancaires Mensuels;  ;  ;  ;2021;7;1;30
110-21110000000000044006;30/11/2021;110-21110000000000044006.pdf;Frais Bancaires Mensuels;19,03;0;19,03;2021;7;1;30
111-21120000000000044284;31/12/2021;111-21120000000000044284.pdf;Frais Bancaires Mensuels;25,39;0,62;26,01;2021;7;1;30
112-22010000000000069534;31/01/2022;112-22010000000000069534.pdf;Frais Bancaires Mensuels;109,59;0,17;109,76;2022;7;1;30
113-22020000000000041887;28/02/2022;113-22020000000000041887.pdf;Frais Bancaires Mensuels;20,82;0,13;20,95;2022;7;1;30
114-22030000000000043712;31/03/2022;114-22030000000000043712.pdf;Frais Bancaires Mensuels;20,03;0,08;20,11;2022;7;1;30
115-22040000000000067754;29/04/2022;115-22040000000000067754.pdf;Frais Bancaires Mensuels;135,87;0,08;135,87;2022;7;1;30
116-22050000000000042994;31/05/2022;116-22050000000000042994.pdf;Frais Bancaires Mensuels;20,09;0,17;20,26;2022;7;1;30
117-22060000000000042102;30/06/2022;117-22060000000000042102.pdf;Frais Bancaires Mensuels;20,18;0,08;20,26;2022;7;1;30
118-22070000000000067595;29/07/2022;118-22070000000000067595.pdf;Frais Bancaires Mensuels;147,84;0,17;148,01;2022;7;1;30
119-22080000000000041013;31/08/2022;119-22080000000000041013.pdf;Frais Bancaires Mensuels;19,67;0,08;19,75;2022;7;1;30
120-22090000000000041186;30/09/2022;120-22090000000000041186.pdf;Frais Bancaires Mensuels;19,88;0,13;20,01;2022;7;1;30
121-22100000000000066338;31/10/2022;121-22100000000000066338.pdf;Frais Bancaires Mensuels;192,42;0,08;192,5;2022;7;1;30
29101201-FAC_1058251;29/10/2012;01-FAC_1058251.pdf;Amaury Media;109,6;21,48;131,08;2013;4;1;25
02-FAC_12156205;05/11/2012;02-FAC_12156205.pdf;INFO Greffe;70,2;13,76;83,96;2013;4;1;25
03-FAC_120006;02/11/2012;03-FAC_120006.pdf;MAAF Assurance;�;�;18,02;2013;4;1;18
05-FAC_12319015015168;14/11/2012;05-FAC_12319015015168.pdf;FNAC;1,51;0,29;1,8;2013;4;1;40
05-FAC_3452;15/11/2012;05-FAC_3452.pdf;Restauration;3,4;48,6;52;2013;4;1;15
06-FAC_AD0624860;28/11/2012;06-FAC_AD0624860.pdf;Assurance Multirisque Professionnelle;208,59;18,76;227,35;2013;2;1;18
07-FAC_031201212010167;05/12/2012;07-FAC_031201212010167.pdf;Auchan;14,05;2,75;16,8;2013;6;1;21
08-FAC_031201212010228;06/12/2012;08-FAC_031201212010228.pdf;Auchan;12,53;2,46;14,99;2013;4;1;21
09-FAC_122731;08/12/2012;09-FAC_122731.pdf;TS Micro;18,49;4,51;23;2013;4;1;21
10-FAC_12352017006042;17/12/2012;10-FAC_12352017006042.pdf;FNAC;63,46;12,44;75,9;2013;4;1;22
11-FAC_991447;24/12/2012;11-FAC_991447.pdf;Assurance Responsabilit� Civile Pro;�;�;226,83;2013;7;1;17
12-FAC_306458744;24/12/2012;12-FAC_306458744.pdf;Cdiscount;412,22;80,8;493,02;2013;4;1;21
13-NDF_0001;27/12/2012;13-NDF_0001.pdf;Restaurant Le Vin C�ur;97,94;6,86;104,8;2013;3;1;15
14-NDF_0002;28/12/2012;14-NDF_0002.pdf;Restaurant Villa Medicis;73,55;3,95;77,5;2013;3;1;15
15-FAC_75358729;03/01/2013;15-FAC_75358729.pdf;CDiscountPRO;349,49;70,75;431,74;2013;7;1;21
16-FAC_309964597;09/01/2013;16-FAC_309964597.pdf;CDiscountPRO;710,88;139,33;850,21;2013;4;1;21
17-NDF_0003;15/01/2013;17-NDF_0003.pdf;Restaurant Le Village;59,72;3,41;65,3;2013;4;1;15
18-NDF_0004;29/01/2013;18-NDF_0004.pdf;Restaurant Le Village;41,12;2,88;44;2013;4;1;15
19-NDF_0005;29/01/2013;19-NDF_0005.pdf;Loyer mois de D�cembre 2012;�;�;110;2013;5;1;40
EDF122012;  ;EDF122012.pdf;EDF mois de D�cembre 2012;�;�;20;2012-2013;5;1;32
MFAC122012;  ;MFAC122012.pdf;Forfait mobile de D�cembre 2012;�;�;20;2012-2013;5;1;33
IFAC122012;  ;IFAC122012.pdf;Forfait internet de D�cembre 2012;�;�;20;2012-2013;5;1;34
20-NDF_0006;05/02/2013;20-NDF_0006.pdf;URSSAF 2013;�;�;493;2013;1;1;6
21-NDF_0007;05/02/2013;21-NDF_0007.pdf;Cotisation ass maladie 2013 (premi�re �ch�ance);�;�;175;2013;1;1;5
22-NDF_0008;05/02/2013;22-NDF_0008.pdf;Cotisation ass maladie 2012;�;�;84;2013;1;1;5
23-FAC_130014;08/02/2013;23-FAC_130014.pdf;Plan Pr�voyance Horizon (Madelin);�;�;392,67;2013;7;1;18
FAC-100213;10/02/2013;�;Frais mensuels Compl�mentaire Sant� (MADELIN);�;�;58,44;2013;7;1;18
70938;11/02/2013;24-FAC_70938.pdf;Achat Batterie Ordinateur Portable � Batterie Mongallet;45,99;9,01;55;2013;3;1;21
25-NDF_0009;11/02/2013;25-NDF_0009.pdf;Restaurant Hokkaido;92,94;6,51;99,45;2013;3;1;15
FAC-11022013;11/02/2013;�;Carburant;�;�;20;2013;3;1;10
76563392;12/02/2012;26-FAC_76563392.pdf;CDiscountPRO;30,21;7,39;45,1;2013;3;1;21
27-FAC_76691409;14/02/2013;27-FAC_76691409.pdf;CDiscountPRO;89,61;17,56;107,17;2013;7;1;40
28-FAC_F01230213;25/02/2013;28-FAC_F01230213.pdf;AMGPLUS Paris Encre;48,49;9,51;58;2013;3;1;21
29-NDF_0010;28/02/2013;29-NDF_0010.pdf;Loyer mois de Janvier 2013;�;�;110;2013;5;1;40
 ;  ;  ;Forfait mobile de Janvier 2013;�;�;20;2012-2013;5;1;33
;  ;  ;Forfait internet de Janvier 2013;�;�;20;2012-2013;5;1;34
30-NDF_0011;28/02/2013;30-NDF_0011.pdf;Loyer mois de F�vrier 2013;�;�;110;2013;5;1;40
;  ;  ;Forfait mobile de F�vrier 2013;�;�;20;2012-2013;5;1;33
;  ;  ;EDF mois de F�vrier 2013;�;�;20;2012-2013;5;1;32
;  ;  ;Forfait internet de F�vrier 2013;�;�;20;2012-2013;5;1;34
FAC-110213;11/03/2013;�;Frais mensuels Compl�mentaire Sant� (MADELIN);�;�;29,22;2013;7;1;18
31-FAC_20969;13/03/2013;31-FAC_20969.pdf;SelTest Engine (site anglais de vente en ligne);�;�;91,08;2013;3;1;22
FRCB-31-FAC_20969;13/03/2013;�;Frais de commission Banque pour Facture N�#20969;�;�;1,82;2013;7;1;30
32-FAC_13071017006349;13/03/2013;32-FAC_13071017006349.pdf;FNAC;4,68;0,92;5,6;2013;3;1;21
33-NDF_0012;26/03/2013;33-NDF_0012.pdf;Frais annuels Compl�mentaire Sant� (MADELIN);�;�;262,98;2013;1;1;18
28-NDF_0013;28/03/2013;�;Cotisation ass maladie 2013 (premi�re �ch�ance);�;�;523;2013;1;1;5
35-FAC_325757224;25/03/2013;35-FAC_325757224.pdf;Cdiscount;269,82;52,88;322,7;2013;7;1;21
36-NDF_0014;25/03/2013;36-NDF_0014.pdf;Restaurant Le paradis du fruit;7,86;1,54;9,4;2013;3;1;15
;  ;  ;�;29,35;2,05;31,4;2012-2013;  ;1;  
37-NDF_0015;29/03/2013;37-NDF_0015.pdf;Loyer mois de Mars 2013;�;�;110;2013;5;1;40
;  ;  ;Forfait mobile de Mars 2013;�;�;20;2012-2013;5;1;33
;  ;  ;Forfait internet de Mars 2013;�;�;20;2012-2013;5;1;34
38-NDF_0016;04/04/2013;38-NDF_0016.pdf;Restaurant Le paradis du fruit;9,11;1,79;10,9;2013;3;1;15
;  ;  ;Autre D�pense;49,81;3,49;53,3;2012-2013;3;1;40
39-NDF_0017;05/04/2013;39-NDF_0017.pdf;Restauration;�;�;46;2013;3;1;15
40-NDF_0018;09/04/2013;40-NDF_0018.pdf;Restauration;3,41;48,79;52,2;2013;3;1;15
41-FAC_78174959;11/04/2013;41-FAC_78174959.pdf;CDiscountPRO;316,18;61,97;378,15;2013;3;1;21
42-NDF_0019;15/04/2013;42-NDF_0019.pdf;STARDOCK SYSTEMUS PLYMOUTH;�;�;3,9;2013;3;1;22
43-NDF_0020;25/04/2013;43-NDF_0020.pdf;Le Relais de Diderot;92;18;110;2013;4;1;15
44-NDF_0021;26/04/2013;44-NDF_0021.pdf;Le 79 CAFE;62,29;12,21;74,5;2013;4;1;15
;  ;  ;Autre D�pense;33,65;1,85;35,5;2012-2013;4;1;40
45-NDF_0022;30/04/2013;45-NDF_0022.pdf;Loyer mois de Avril 2013;�;�;110;2013;5;1;40
;  ;  ;Forfait mobile de Avril 2013;�;�;20;2012-2013;5;1;33
;  ;  ;Forfait internet de Avril 2013;�;�;20;2012-2013;5;1;34
;  ;  ;EDF mois d'Avril 2013;�;�;20;2012-2013;5;1;32
46-NDF_0023;13/05/2013;46-NDF_0023.pdf;Restaurant Le New Imperial;25,98;1,82;27,8;2013;3;1;15
21-NDF_0024;13/05/2013;�;URSSAF 2013;�;�;42;2013;1;1;6
48-NDF_0025;14/05/2013;48-NDF_0025.pdf;La Cantoche Paname;92;18;110;2013;4;1;15
49-FAC_1304042;16/05/2013;49-FAC_1304042.pdf;Facture Aubay - Frais de Cantine BNP;371,95;72,9;444,85;2013;5;1;16
50-FAC_1304059;16/05/2013;50-FAC_1304059.pdf;Facture Aubay - Frais de Cantine BNP;81,6;15,99;97,59;2013;5;1;16
51-FAC_86959;18/05/2013;51-FAC_86959.pdf;MontGallet One;1074,83;210,67;1285,5;2013;3;1;21
52-NDF_0026;21/05/2013;52-NDF_0026.pdf;Amazon International;�;�;180,94;2013;3;1;40
53-NDF_0027;22/05/2013;53-NDF_0027.pdf;Restaurant LE VENIZIA;42,78;3,22;46;2013;3;1;15
54-NDF_0028;25/05/2013;54-NDF_0028.pdf;Restaurant EL Rancho;30,23;2,12;32,35;2013;3;1;15
55-FAC_264519;27/05/2013;55-FAC_264519.pdf;Boulangerie MD Du Parc;14,69;0,81;15,5;2013;4;1;15
56-FAC_13149016010054;29/05/2013;56-FAC_13149016010054_Page_2.pdf;FNAC;26,92;1,48;28,4;2013;3;1;40
;  ;  ;Autre D�pense;25,01;4,87;29,88;2012-2013;3;1;40
57-NDF_0029;30/05/2013;57-NDF_0029.pdf;Loyer mois de Mai 2013;�;�;110;2013;5;1;40
;  ;  ;Forfait mobile de Mai 2013;�;�;20;2012-2013;5;1;33
;  ;  ;Forfait internet de Mai 2013;�;�;20;2012-2013;5;1;34
58-NDF_0030;31/05/2013;58-NDF_0030.pdf;Acompte Cotisation Retraite CIPAV;�;�;381;2013;1;1;7
;04/06/2013;�;Assurance Responsabilit� Civile Pro;�;�;226,83;2013;7;1;17
04-NDF_0014;04/06/2013;�;Cotisation ass maladie 2013 (premi�re �ch�ance);�;�;175;2013;1;1;5
59-FAC_273890;06/06/2013;59-FAC_273890.pdf;Boulangerie MD du Parc;25,64;1,41;27,05;2013;3;1;15
60-FAC_4464;07/06/2013;60-FAC_4464.pdf;Indiana Caf�;61,9;4,3;66,2;2013;3;1;15
61-NDF_0031;08/06/2013;61-NDF_0031.pdf;Delice WOK;35,7;2,5;38,2;2013;3;1;15
62-NDF_0032;17/06/2013;62-NDF_0032.pdf;Baguette de Chine;�;�;29,5;2013;3;1;15
63-FAC_80231907;28/06/2013;63-FAC_80231907.pdf;CDiscountPRO;82,61;16,19;98,8;2013;3;1;21
64-NDF_0033;28/06/2013;64-NDF_0033.pdf;Loyer mois de Juin 2013;�;�;110;2013;5;1;40
;  ;  ;EDF du mois de Juin 2013;�;�;20;2012-2013;5;1;32
;  ;  ;Forfait mobile de Juin 2013;�;�;20;2012-2013;5;1;33
;  ;  ;Forfait internet de Juin 2013;�;�;20;2012-2013;5;1;34
65-NDF_0034;01/07/2013;65-NDF_0034.pdf;Restaurant Le Paradis du Fruit;46,73;3,27;50;2013;3;1;15
66-NDF_0035;02/07/2013;66-NDF_0035.pdf;Restaurant Le Soleil D'Or;63,08;4,42;67,5;2013;3;1;15
67-NDF_0036;08/07/2013;67-NDF_0036.pdf;Restaurant Le Bosphore;�;�;27;2013;3;1;15
07_68-NDF_0037;24/07/2013;68-NDF_0037.pdf;RSI 2013;�;�;87;2013;7;1;5
69-NDF_0038;25/07/2013;69-NDF_0038.pdf;Web Infogreffe - Kbis;4,55;0,89;5,44;2013;4;1;27
70-FAC_WPI19832870808691732;25/07/2013;70-FAC_WPI19832870808691732.pdf;Ooprint;33,79;6,62;40,41;2013;3;1;40
71-NDF_0093;25/07/2013;71-NDF_0093.pdf;Restaurant Le Paradis du Fruit;9,11;1,79;10,9;2013;3;1;15
;  ;  ;Autre D�pense;26,73;1,87;28,6;2012-2013;3;1;40
72-FAC_92724;27/07/2013;72-FAC_92724.pdf;Montgallet One;66,89;13,11;80;2013;3;1;21
73-FAC_954004;27/07/2013;73-FAC_954004.pdf;AMGPlus Paris Encre;75,67;14,83;90,5;2013;3;1;21
74-NDF_0040;29/07/2013;74-NDF_0040.pdf;Loyer mois de Juillet 2013;�;�;110;2013;5;1;40
